date,code,close,high,low,open,p_change,turnover,volume,t_volue
2008/5/12,'002230,30.31,31.17,28.21,28.21,139.4155,84.9465,18212540,3248201460
2008/5/13,'002230,33.34,33.34,30.41,30.45,9.9967,23.3126,4998231,3572914440
2008/5/14,'002230,33.95,34.98,32.3,34.2,1.8296,22.9577,4922130,3638285700
2008/5/15,'002230,34,35.9,33.45,33.45,0.1473,21.6225,4635873,3643644000
2008/5/16,'002230,32.96,35.29,32.7,33.5,-3.0588,16.2214,3477867,3532191360
2008/5/19,'002230,36.26,36.26,33.05,33.49,10.0121,12.6221,2706178,3885839160
2008/5/20,'002230,36.5,38.17,35.26,36.88,0.6619,15.6257,3350159,3911559000
2008/5/21,'002230,36.85,37,34.8,36.7,0.9589,12.7208,2727333,3949067100
2008/5/22,'002230,35.68,37.2,35.01,36,-3.175,10.7247,2299376,3823682880
2008/5/23,'002230,37.4,37.63,35.08,35.08,4.8206,10.9633,2350531,4008008400
2008/5/26,'002230,36.18,37.8,35.9,37,-3.262,5.0007,1072142,3877265880
2008/5/27,'002230,34.5,36.6,34.3,35.87,-4.6434,4.6768,1002699,3697227000
2008/5/28,'002230,35,35.8,33.51,34.56,1.4493,4.1912,898586,3750810000
2008/5/29,'002230,36.19,36.5,34.4,34.6,3.4,3.9069,837634,3878337540
2008/5/30,'002230,36.69,37.18,35.8,35.8,1.3816,3.7664,807523,3931920540
2008/6/2,'002230,36.26,36.56,35.21,36.48,-1.172,2.2728,487290,3885839160
2008/6/3,'002230,38.68,39.75,36.02,36.1,6.674,7.4504,1597372,4145180880
2008/6/4,'002230,38.26,38.75,37.03,38.45,-1.0858,4.1129,881802,4100171160
2008/6/5,'002230,38.5,38.88,37.05,37.7,0.6273,2.6475,567628,4125891000
2008/6/6,'002230,38.8,39.75,38.25,39.19,0.7792,2.9586,634327,4158040800
2008/6/10,'002230,36.88,38.49,35,37.66,-4.9485,5.4874,1176500,3952282080
2008/6/11,'002230,35.9,36.96,34.5,36.01,-2.6573,5.7506,1232929,3847259400
2008/6/12,'002230,35.6,35.9,34.03,35.43,-0.8357,3.2677,700601,3815109600
2008/6/13,'002230,32.99,35.45,32.31,35.41,-7.3315,6.8536,1469408,3535406340
2008/6/16,'002230,32.2,32.99,30.01,32.61,-2.3947,8.4934,1820979,3450745200
2008/6/17,'002230,30.3,32.19,30.28,31.61,-5.9006,1.6137,345980,3247129800
2008/6/18,'002230,31.89,31.97,28.6,30.02,5.2475,2.9475,631943,3417523740
2008/6/19,'002230,29.58,31.45,28.72,31,-7.2437,2.4769,531042,3169970280
2008/6/20,'002230,30.34,31.4,27.71,29.25,2.5693,2.2756,487879,3251416440
2008/6/23,'002230,29.85,30.19,29,29.5,-1.615,1.6238,348145,3198905100
2008/6/24,'002230,31.4,31.49,29.3,29.7,5.1926,2.6046,558432,3365012400
2008/6/25,'002230,31.8,32.18,30.52,31.01,1.2739,2.197,471032,3407878800
2008/6/26,'002230,31.2,31.88,30.3,31.8,-1.8868,2.9932,641741,3343579200
2008/6/27,'002230,29.42,30.83,29.4,30,-5.7051,1.7817,381986,3152823720
2008/6/30,'002230,30.09,30.18,28.56,29.55,2.2774,1.015,217617,3224624940
2008/7/1,'002230,30,30.1,29,30.09,-0.2991,0.6725,144180,3214980000
2008/7/2,'002230,30.56,30.98,29.61,30,1.8667,0.9208,197415,3274992960
2008/7/3,'002230,31.6,32,29.33,29.68,3.4031,2.3852,511395,3386445600
2008/7/4,'002230,30.58,31.3,30.2,31.2,-3.2278,1.0055,215576,3277136280
